strain, s11, s22, s33, q, p, e
0, -1.2e+06, -1.2e+06, -1.2e+06, 0, -1.2e+06, 0.67
-0.0001, -1.24361e+06, -1.17956e+06, -1.17956e+06, -64052, -1.20091e+06, 0.67
-0.0002, -1.28445e+06, -1.16144e+06, -1.16144e+06, -123008, -1.20245e+06, 0.67
-0.0003, -1.31546e+06, -1.14579e+06, -1.14579e+06, -169671, -1.20234e+06, 0.67
-0.0004, -1.33521e+06, -1.13196e+06, -1.13196e+06, -203244, -1.19971e+06, 0.67
-0.0005, -1.34605e+06, -1.11931e+06, -1.11931e+06, -226737, -1.19489e+06, 0.67
-0.0006, -1.35116e+06, -1.10738e+06, -1.10738e+06, -243777, -1.18864e+06, 0.67
-0.0007, -1.35286e+06, -1.0959e+06, -1.0959e+06, -256960, -1.18155e+06, 0.67
-0.0008, -1.35264e+06, -1.08475e+06, -1.08475e+06, -267895, -1.17404e+06, 0.67
-0.0009, -1.35135e+06, -1.07384e+06, -1.07384e+06, -277509, -1.16634e+06, 0.67
-0.001, -1.34947e+06, -1.06315e+06, -1.06315e+06, -286321, -1.15859e+06, 0.67
-0.0011, -1.34727e+06, -1.05265e+06, -1.05265e+06, -294618, -1.15085e+06, 0.67
-0.0012, -1.34488e+06, -1.04233e+06, -1.04233e+06, -302556, -1.14318e+06, 0.67
-0.0013, -1.3424e+06, -1.03218e+06, -1.03218e+06, -310222, -1.13558e+06, 0.67
-0.0014, -1.33986e+06, -1.02219e+06, -1.02219e+06, -317664, -1.12808e+06, 0.67
-0.0015, -1.33728e+06, -1.01237e+06, -1.01237e+06, -324909, -1.12068e+06, 0.67
-0.0016, -1.33469e+06, -1.00271e+06, -1.00271e+06, -331975, -1.11337e+06, 0.67
-0.0017, -1.33208e+06, -993207, -993207, -338871, -1.10616e+06, 0.67
-0.0018, -1.32946e+06, -983854, -983854, -345606, -1.09906e+06, 0.67
-0.0019, -1.32684e+06, -974651, -974651, -352185, -1.09205e+06, 0.67
-0.002, -1.32421e+06, -965596, -965596, -358612, -1.08513e+06, 0.67
-0.0021, -1.32158e+06, -956684, -956684, -364892, -1.07831e+06, 0.67
-0.0022, -1.31894e+06, -947915, -947915, -371028, -1.07159e+06, 0.67
-0.0023, -1.31631e+06, -939285, -939285, -377023, -1.06496e+06, 0.67
-0.0024, -1.31367e+06, -930792, -930792, -382882, -1.05842e+06, 0.67
-0.0025, -1.31104e+06, -922434, -922434, -388607, -1.05197e+06, 0.67
-0.0026, -1.30841e+06, -914207, -914207, -394201, -1.04561e+06, 0.67
-0.0027, -1.30578e+06, -906110, -906110, -399668, -1.03933e+06, 0.67
-0.0028, -1.30315e+06, -898140, -898140, -405010, -1.03314e+06, 0.67
-0.0029, -1.30053e+06, -890295, -890295, -410231, -1.02704e+06, 0.67
-0.003, -1.2979e+06, -882573, -882573, -415332, -1.02102e+06, 0.67
-0.0031, -1.29529e+06, -874971, -874971, -420318, -1.01508e+06, 0.67
-0.0032, -1.29268e+06, -867487, -867487, -425190, -1.00922e+06, 0.67
-0.0033, -1.29007e+06, -860119, -860119, -429951, -1.00344e+06, 0.67
-0.0034, -1.28747e+06, -852866, -852866, -434605, -997734, 0.67
-0.0035, -1.28488e+06, -845724, -845724, -439152, -992108, 0.67
-0.0036, -1.28229e+06, -838693, -838693, -443597, -986558, 0.67
-0.0037, -1.27971e+06, -831769, -831769, -447940, -981082, 0.67
-0.0038, -1.27714e+06, -824951, -824951, -452185, -975680, 0.67
-0.0039, -1.27457e+06, -818238, -818238, -456334, -970349, 0.67
-0.004, -1.27202e+06, -811626, -811626, -460389, -965089, 0.67
-0.0041, -1.26947e+06, -805115, -805115, -464352, -959899, 0.67
-0.0042, -1.26693e+06, -798702, -798702, -468226, -954778, 0.67
-0.0043, -1.2644e+06, -792387, -792387, -472012, -949724, 0.67
-0.0044, -1.26188e+06, -786166, -786166, -475713, -944737, 0.67
-0.0045, -1.25937e+06, -780039, -780039, -479330, -939815, 0.67
-0.0046, -1.25687e+06, -774003, -774003, -482865, -934958, 0.67
-0.0047, -1.25438e+06, -768057, -768057, -486321, -930164, 0.67
-0.0048, -1.2519e+06, -762200, -762200, -489699, -925433, 0.67
-0.0049, -1.24943e+06, -756429, -756429, -493001, -920763, 0.67
-0.005, -1.24697e+06, -750744, -750744, -496229, -916154, 0.67
-0.0051, -1.24453e+06, -745143, -745143, -499384, -911604, 0.67
-0.0052, -1.24209e+06, -739624, -739624, -502468, -907113, 0.67
-0.0053, -1.23967e+06, -734186, -734186, -505483, -902680, 0.67
-0.0054, -1.23726e+06, -728827, -728827, -508430, -898303, 0.67
-0.0055, -1.23486e+06, -723546, -723546, -511311, -893983, 0.67
-0.0056, -1.23247e+06, -718342, -718342, -514128, -889718, 0.67
-0.0057, -1.23009e+06, -713213, -713213, -516881, -885506, 0.67
-0.0058, -1.22773e+06, -708158, -708158, -519573, -881349, 0.67
-0.0059, -1.22538e+06, -703175, -703175, -522205, -877243, 0.67
-0.006, -1.22304e+06, -698264, -698264, -524778, -873190, 0.67
-0.0061, -1.22072e+06, -693423, -693423, -527293, -869188, 0.67
-0.0062, -1.2184e+06, -688651, -688651, -529752, -865235, 0.67
-0.0063, -1.2161e+06, -683947, -683947, -532156, -861332, 0.67
-0.0064, -1.21382e+06, -679309, -679309, -534507, -857478, 0.67
-0.0065, -1.21154e+06, -674737, -674737, -536805, -853672, 0.67
-0.0066, -1.20928e+06, -670228, -670228, -539051, -849912, 0.67
-0.0067, -1.20703e+06, -665783, -665783, -541248, -846199, 0.67
-0.0068, -1.2048e+06, -661400, -661400, -543396, -842532, 0.67
-0.0069, -1.20257e+06, -657078, -657078, -545496, -838910, 0.67
-0.007, -1.20037e+06, -652816, -652816, -547549, -835333, 0.67
-0.0071, -1.19817e+06, -648613, -648613, -549556, -831799, 0.67
-0.0072, -1.19599e+06, -644468, -644468, -551519, -828308, 0.67
-0.0073, -1.19382e+06, -640379, -640379, -553438, -824859, 0.67
-0.0074, -1.19166e+06, -636347, -636347, -555315, -821452, 0.67
-0.0075, -1.18952e+06, -632369, -632369, -557150, -818086, 0.67
-0.0076, -1.18739e+06, -628446, -628446, -558943, -814761, 0.67
-0.0077, -1.18527e+06, -624576, -624576, -560698, -811475, 0.67
-0.0078, -1.18317e+06, -620758, -620758, -562413, -808229, 0.67
-0.0079, -1.18108e+06, -616991, -616991, -564090, -805021, 0.67
-0.008, -1.179e+06, -613275, -613275, -565729, -801852, 0.67
-0.0081, -1.17694e+06, -609609, -609609, -567332, -798720, 0.67
-0.0082, -1.17489e+06, -605991, -605991, -568900, -795625, 0.67
-0.0083, -1.17285e+06, -602422, -602422, -570433, -792566, 0.67
-0.0084, -1.17083e+06, -598900, -598900, -571932, -789543, 0.67
-0.0085, -1.16882e+06, -595424, -595424, -573397, -786556, 0.67
-0.0086, -1.16682e+06, -591994, -591994, -574830, -783604, 0.67
-0.0087, -1.16484e+06, -588609, -588609, -576231, -780685, 0.67
-0.0088, -1.16287e+06, -585268, -585268, -577601, -777801, 0.67
-0.0089, -1.16091e+06, -581970, -581970, -578940, -774950, 0.67
-0.009, -1.15897e+06, -578715, -578715, -580250, -772132, 0.67
-0.0091, -1.15703e+06, -575503, -575503, -581530, -769346, 0.67
-0.0092, -1.15511e+06, -572332, -572332, -582782, -766592, 0.67
-0.0093, -1.15321e+06, -569201, -569201, -584006, -763870, 0.67
-0.0094, -1.15131e+06, -566111, -566111, -585203, -761178, 0.67
-0.0095, -1.14943e+06, -563060, -563060, -586373, -758518, 0.67
-0.0096, -1.14756e+06, -560048, -560048, -587517, -755887, 0.67
-0.0097, -1.14571e+06, -557074, -557074, -588635, -753286, 0.67
-0.0098, -1.14387e+06, -554137, -554137, -589728, -750714, 0.67
-0.0099, -1.14204e+06, -551238, -551238, -590797, -748170, 0.67
-0.01, -1.14022e+06, -548375, -548375, -591842, -745656, 0.67
-0.0101, -1.13841e+06, -545548, -545548, -592864, -743169, 0.67
-0.0102, -1.13662e+06, -542756, -542756, -593863, -740710, 0.67
-0.0103, -1.13484e+06, -539999, -539999, -594839, -738278, 0.67
-0.0104, -1.13307e+06, -537275, -537275, -595793, -735873, 0.67
-0.0105, -1.13131e+06, -534586, -534586, -596726, -733495, 0.67
-0.0106, -1.12957e+06, -531930, -531930, -597638, -731142, 0.67
-0.0107, -1.12784e+06, -529306, -529306, -598529, -728815, 0.67
-0.0108, -1.12611e+06, -526714, -526714, -599401, -726514, 0.67
-0.0109, -1.12441e+06, -524154, -524154, -600252, -724238, 0.67
-0.011, -1.12271e+06, -521625, -521625, -601084, -721986, 0.67
-0.0111, -1.12102e+06, -519126, -519126, -601898, -719759, 0.67
-0.0112, -1.11935e+06, -516658, -516658, -602693, -717555, 0.67
-0.0113, -1.11769e+06, -514219, -514219, -603470, -715376, 0.67
-0.0114, -1.11604e+06, -511810, -511810, -604229, -713219, 0.67
-0.0115, -1.1144e+06, -509429, -509429, -604970, -711086, 0.67
-0.0116, -1.11277e+06, -507077, -507077, -605695, -708975, 0.67
-0.0117, -1.11116e+06, -504753, -504753, -606404, -706887, 0.67
-0.0118, -1.10955e+06, -502456, -502456, -607096, -704821, 0.67
-0.0119, -1.10796e+06, -500186, -500186, -607772, -702777, 0.67
-0.012, -1.10638e+06, -497943, -497943, -608432, -700754, 0.67
-0.0121, -1.1048e+06, -495726, -495726, -609077, -698752, 0.67
-0.0122, -1.10324e+06, -493536, -493536, -609708, -696772, 0.67
-0.0123, -1.10169e+06, -491370, -491370, -610323, -694811, 0.67
-0.0124, -1.10015e+06, -489230, -489230, -610925, -692872, 0.67
-0.0125, -1.09863e+06, -487115, -487115, -611512, -690952, 0.67
-0.0126, -1.09711e+06, -485024, -485024, -612086, -689052, 0.67
-0.0127, -1.0956e+06, -482957, -482957, -612646, -687172, 0.67
-0.0128, -1.09411e+06, -480914, -480914, -613193, -685311, 0.67
-0.0129, -1.09262e+06, -478894, -478894, -613727, -683469, 0.67
-0.013, -1.09115e+06, -476897, -476897, -614248, -681646, 0.67
-0.0131, -1.08968e+06, -474923, -474923, -614757, -679842, 0.67
-0.0132, -1.08822e+06, -472971, -472971, -615254, -678056, 0.67
-0.0133, -1.08678e+06, -471041, -471041, -615739, -676288, 0.67
-0.0134, -1.08535e+06, -469133, -469133, -616212, -674537, 0.67
-0.0135, -1.08392e+06, -467247, -467247, -616674, -672805, 0.67
-0.0136, -1.08251e+06, -465381, -465381, -617125, -671089, 0.67
-0.0137, -1.0811e+06, -463536, -463536, -617565, -669391, 0.67
-0.0138, -1.07971e+06, -461712, -461712, -617994, -667710, 0.67
-0.0139, -1.07832e+06, -459908, -459908, -618412, -666046, 0.67
-0.014, -1.07694e+06, -458124, -458124, -618820, -664398, 0.67
-0.0141, -1.07558e+06, -456360, -456360, -619219, -662766, 0.67
-0.0142, -1.07422e+06, -454615, -454615, -619607, -661151, 0.67
-0.0143, -1.07287e+06, -452889, -452889, -619986, -659551, 0.67
-0.0144, -1.07154e+06, -451182, -451182, -620355, -657967, 0.67
-0.0145, -1.07021e+06, -449493, -449493, -620715, -656398, 0.67
-0.0146, -1.06889e+06, -447823, -447823, -621065, -654845, 0.67
-0.0147, -1.06758e+06, -446171, -446171, -621407, -653307, 0.67
-0.0148, -1.06628e+06, -444537, -444537, -621740, -651784, 0.67
-0.0149, -1.06499e+06, -442920, -442920, -622065, -650275, 0.67
-0.015, -1.0637e+06, -441321, -441321, -622381, -648781, 0.67
-0.0151, -1.06243e+06, -439739, -439739, -622688, -647302, 0.67
-0.0152, -1.06116e+06, -438174, -438174, -622988, -645836, 0.67
-0.0153, -1.0599e+06, -436625, -436625, -623280, -644385, 0.67
-0.0154, -1.05866e+06, -435093, -435093, -623564, -642947, 0.67
-0.0155, -1.05742e+06, -433577, -433577, -623841, -641523, 0.67
-0.0156, -1.05619e+06, -432077, -432077, -624110, -640113, 0.67
-0.0157, -1.05496e+06, -430592, -430592, -624371, -638716, 0.67
-0.0158, -1.05375e+06, -429123, -429123, -624626, -637332, 0.67
-0.0159, -1.05254e+06, -427670, -427670, -624873, -635961, 0.67
-0.016, -1.05135e+06, -426232, -426232, -625114, -634603, 0.67
-0.0161, -1.05016e+06, -424808, -424808, -625348, -633258, 0.67
-0.0162, -1.04897e+06, -423400, -423400, -625575, -631925, 0.67
-0.0163, -1.0478e+06, -422006, -422006, -625796, -630604, 0.67
-0.0164, -1.04664e+06, -420626, -420626, -626010, -629296, 0.67
-0.0165, -1.04548e+06, -419261, -419261, -626218, -628000, 0.67
-0.0166, -1.04433e+06, -417909, -417909, -626420, -626716, 0.67
-0.0167, -1.04319e+06, -416572, -416572, -626617, -625444, 0.67
-0.0168, -1.04205e+06, -415248, -415248, -626807, -624183, 0.67
-0.0169, -1.04093e+06, -413937, -413937, -626991, -622934, 0.67
-0.017, -1.03981e+06, -412640, -412640, -627170, -621696, 0.67
-0.0171, -1.0387e+06, -411355, -411355, -627343, -620470, 0.67
-0.0172, -1.0376e+06, -410084, -410084, -627511, -619254, 0.67
-0.0173, -1.0365e+06, -408826, -408826, -627673, -618050, 0.67
-0.0174, -1.03541e+06, -407580, -407580, -627831, -616857, 0.67
-0.0175, -1.03433e+06, -406346, -406346, -627983, -615674, 0.67
-0.0176, -1.03326e+06, -405125, -405125, -628130, -614502, 0.67
-0.0177, -1.03219e+06, -403916, -403916, -628272, -613340, 0.67
-0.0178, -1.03113e+06, -402719, -402719, -628409, -612189, 0.67
-0.0179, -1.03008e+06, -401534, -401534, -628542, -611048, 0.67
-0.018, -1.02903e+06, -400361, -400361, -628670, -609917, 0.67
-0.0181, -1.02799e+06, -399199, -399199, -628793, -608796, 0.67
-0.0182, -1.02696e+06, -398048, -398048, -628912, -607685, 0.67
-0.0183, -1.02594e+06, -396909, -396909, -629027, -606584, 0.67
-0.0184, -1.02492e+06, -395781, -395781, -629137, -605493, 0.67
-0.0185, -1.02391e+06, -394663, -394663, -629243, -604411, 0.67
-0.0186, -1.0229e+06, -393557, -393557, -629344, -603339, 0.67
-0.0187, -1.0219e+06, -392461, -392461, -629442, -602275, 0.67
-0.0188, -1.02091e+06, -391376, -391376, -629536, -601222, 0.67
-0.0189, -1.01993e+06, -390302, -390302, -629626, -600177, 0.67
-0.019, -1.01895e+06, -389237, -389237, -629712, -599141, 0.67
-0.0191, -1.01798e+06, -388183, -388183, -629794, -598115, 0.67
-0.0192, -1.01701e+06, -387139, -387139, -629873, -597097, 0.67
-0.0193, -1.01605e+06, -386105, -386105, -629948, -596088, 0.67
-0.0194, -1.0151e+06, -385081, -385081, -630019, -595087, 0.67
-0.0195, -1.01415e+06, -384066, -384066, -630087, -594095, 0.67
-0.0196, -1.01321e+06, -383061, -383061, -630151, -593112, 0.67
-0.0197, -1.01228e+06, -382066, -382066, -630213, -592137, 0.67
-0.0198, -1.01135e+06, -381080, -381080, -630270, -591170, 0.67
-0.0199, -1.01043e+06, -380103, -380103, -630325, -590211, 0.67
-0.02, -1.00951e+06, -379135, -379135, -630376, -589261, 0.67
-0.0201, -1.0086e+06, -378177, -378177, -630425, -588318, 0.67
-0.0202, -1.0077e+06, -377227, -377227, -630470, -587384, 0.67
-0.0203, -1.0068e+06, -376286, -376286, -630512, -586457, 0.67
-0.0204, -1.00591e+06, -375354, -375354, -630552, -585538, 0.67
-0.0205, -1.00502e+06, -374430, -374430, -630588, -584626, 0.67
-0.0206, -1.00414e+06, -373515, -373515, -630622, -583722, 0.67
-0.0207, -1.00326e+06, -372609, -372609, -630653, -582826, 0.67
-0.0208, -1.00239e+06, -371710, -371710, -630681, -581937, 0.67
-0.0209, -1.00153e+06, -370820, -370820, -630706, -581056, 0.67
-0.021, -1.00067e+06, -369938, -369938, -630729, -580181, 0.67
-0.0211, -999814, -369064, -369064, -630749, -579314, 0.67
-0.0212, -998965, -368198, -368198, -630767, -578454, 0.67
-0.0213, -998122, -367340, -367340, -630782, -577601, 0.67
-0.0214, -997285, -366490, -366490, -630795, -576755, 0.67
-0.0215, -996453, -365647, -365647, -630806, -575916, 0.67
-0.0216, -995626, -364812, -364812, -630814, -575083, 0.67
-0.0217, -994804, -363984, -363984, -630820, -574257, 0.67
-0.0218, -993987, -363164, -363164, -630823, -573438, 0.67
-0.0219, -993176, -362351, -362351, -630824, -572626, 0.67
-0.022, -992369, -361546, -361546, -630824, -571820, 0.67
-0.0221, -991568, -360747, -360747, -630821, -571021, 0.67
-0.0222, -990771, -359956, -359956, -630816, -570228, 0.67
-0.0223, -989980, -359171, -359171, -630809, -569441, 0.67
-0.0224, -989193, -358394, -358394, -630799, -568660, 0.67
-0.0225, -988412, -357623, -357623, -630788, -567886, 0.67
-0.0226, -987635, -356860, -356860, -630775, -567118, 0.67
-0.0227, -986863, -356102, -356102, -630760, -566356, 0.67
-0.0228, -986096, -355352, -355352, -630744, -565600, 0.67
-0.0229, -985333, -354608, -354608, -630725, -564850, 0.67
-0.023, -984575, -353871, -353871, -630705, -564105, 0.67
-0.0231, -983822, -353139, -353139, -630682, -563367, 0.67
-0.0232, -983073, -352415, -352415, -630658, -562634, 0.67
-0.0233, -982329, -351696, -351696, -630633, -561907, 0.67
-0.0234, -981590, -350984, -350984, -630606, -561186, 0.67
-0.0235, -980855, -350278, -350278, -630577, -560470, 0.67
-0.0236, -980124, -349578, -349578, -630546, -559760, 0.67
-0.0237, -979398, -348884, -348884, -630514, -559055, 0.67
-0.0238, -978676, -348196, -348196, -630480, -558356, 0.67
-0.0239, -977959, -347513, -347513, -630445, -557662, 0.67
-0.024, -977245, -346837, -346837, -630408, -556973, 0.67
-0.0241, -976537, -346166, -346166, -630370, -556290, 0.67
